Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
LiLa0.05Mn1.95O4,"[{'Li': '1.0', 'La': '0.05', 'Mn': '1.95', 'O': '4.0'}]",0.0029577517197138968,Cathode,0.02434765025413836,0.3889980353634577,0.9399753899098631
LiCe0.05Mn1.95O4,"[{'Li': '1.0', 'Ce': '0.05', 'Mn': '1.95', 'O': '4.0'}]",0.0029587282025691983,Cathode,0.01630529692368496,0.3889980353634577,0.9399753899098631
LiCo1.09Mn0.91O4,"[{'Li': '1.0', 'Co': '1.09', 'Mn': '0.91', 'O': '4.0'}]",0.0029602687858508274,Cathode,0.03013814465206481,0.62475442043222,0.9399753899098631
K0.08Cu0.92O1âÎ³ @ Ag,"[{'K': '0.08', 'Cu': '0.92', 'O': '1.0'}, {'Ag': '1.0'}]",0.002964991573425867,Anode,0.18480408827287015,0.3889980353634577,0.9399753899098631
SbS2 / graphene,"[{'Sb': '1.0', 'S': '2.0'}]",0.002971784020447772,Anode,0.1677313210599362,0.3889980353634577,0.9399753899098631
SnSe0.5S0.5 / C,"[{'Sn': '1.0', 'Se': '0.5', 'S': '0.5'}, {'C': '1.0'}]",0.002977538006198435,Anode,0.10040533460785485,0.5854616895874263,0.6998769495493152
Ni / MoO2âÎ´,"[{'Ni': '1.0'}, {'Mo': '1.0', 'O': '2.0'}]",0.0029840667221483455,Anode,0.37474149578580684,0.3889980353634577,0.9399753899098631
Fe0.5TiOPO4,"[{'Fe': '0.5', 'Ti': '1.0', 'O': '5.0', 'P': '1.0'}]",0.002985963197115254,Anode,0.04594711348449894,0.7819253438113948,0.9399753899098631
Li2CoPO4F,"[{'Li': '2.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",0.002986326351896152,Cathode,0.031241095965955566,0.3889980353634577,0.9399753899098631
Li2MnSiO4 / NC-2,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}, {'N': '1.0', 'C': '1.0'}]",0.0029885214207940203,Cathode,0.06044632763168779,0.3889980353634577,0.9399753899098631
TiO2 / Ti2C,"[{'Ti': '1.0', 'O': '2.0'}, {'Ti': '2.0', 'C': '1.0'}]",0.0029997065880456603,Cathode,0.052220149082252594,0.3889980353634577,0.9399753899098631
P4O4,"[{'P': '4.0', 'O': '4.0'}]",0.0030042581279662406,Cathode,0.1310995505473396,0.3889980353634577,0.9399753899098631
Cu0.1V2O5,"[{'Cu': '0.1', 'V': '2.0', 'O': '5.0'}]",0.003009755484338403,Cathode,0.041351483009954136,0.3889980353634577,0.9399753899098631
Na0.282V2O5,"[{'Na': '0.282', 'V': '2.0', 'O': '5.0'}]",0.003011830792859638,Cathode,0.037674978630318295,0.3889980353634577,0.9399753899098631
GeO2 / Ge / C,"[{'Ge': '1.0', 'O': '2.0'}, {'Ge': '1.0'}, {'C': '1.0'}]",0.003026483200557161,Anode,0.4273844428717175,0.3889980353634577,0.9399753899098631
CoSn @ C,"[{'Co': '1.0', 'Sn': '1.0'}, {'C': '1.0'}]",0.0030326971823636277,Anode,0.053139275177161556,0.03536345776031433,0.9399753899098631
SnCoC,"[{'Sn': '1.0', 'Co': '1.0', 'C': '1.0'}]",0.0030326971823636277,Anode,0.22885320637138207,0.03536345776031433,0.9399753899098631
KFePO4,"[{'K': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",0.0030368774973970687,Cathode,0.03583672644050037,0.3889980353634577,0.9399753899098631
Ni3NâCo3N @ CNT,"[{'Ni': '3.0', 'N': '1.0'}]",0.0030396697541568577,Anode,0.14291491649739427,0.3889980353634577,0.9399753899098631
Mg2FeH6-G / TiO2,"[{'Mg': '2.0', 'Fe': '1.0', 'H': '6.0'}, {'Ti': '1.0', 'O': '2.0'}]",0.003044221294077438,Anode,0.09466079651467385,0.3889980353634577,0.9399753899098631
Li3FeF6 / CNTs,"[{'Li': '3.0', 'Fe': '1.0', 'F': '6.0'}]",0.0030488212546354717,Cathode,0.01837333063723012,0.5658153241650293,0.9399753899098631
K0.25V2O5,"[{'K': '0.25', 'V': '2.0', 'O': '5.0'}]",0.0030649533970135583,Cathode,0.037445197106591055,0.3889980353634577,0.9399753899098631
RuO2 / Ni,"[{'Ru': '1.0', 'O': '2.0'}, {'Ni': '1.0'}]",0.003066704610068108,Cathode,0.3848748609821781,0.5068762278978388,0.9399753899098631
MoS2 / rGO / S,"[{'Mo': '1.0', 'S': '2.0'}, {'S': '1.0'}]",0.003072660348474825,Cathode,0.1562422448735742,0.3889980353634577,0.9399753899098631
5LMO-LTO / C,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}, {'C': '1.0'}]",0.003083845515726465,Anode,0.03728435003998199,0.3889980353634577,0.9399753899098631
Mn0.2V2O5Â·0.9H2O,"[{'Mn': '0.2', 'V': '2.0', 'O': '5.0'}]",0.003084533088778297,Cathode,0.06892526585722294,0.3889980353634577,0.9399753899098631
Fe3N @ C,"[{'Fe': '3.0', 'N': '1.0'}, {'C': '1.0'}]",0.0030956278708400243,Anode,0.15532311877866523,0.3889980353634577,0.9399753899098631
Na2FeSiO4,"[{'Na': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}]",0.0031013253658469927,Cathode,0.027334810062592484,0.3889980353634577,0.9399753899098631
S / C @ SnO2,"[{'S': '1.0'}, {'C': '1.0', 'Sn': '1.0', 'O': '2.0'}]",0.0031154157713458113,Cathode,0.27113300673719426,0.3889980353634577,0.9399753899098631
SnS2 @ C,"[{'Sn': '1.0', 'S': '2.0'}, {'C': '1.0'}]",0.00311641646451984,Anode,0.1734758591531172,0.3889980353634577,0.6248461869366441
Fe1.5(PO4)(OH),"[{'P': '1.0', 'O': '5.0', 'H': '1.0', 'Fe': '1.5'}]",0.0031309991464994304,Cathode,0.031011314442228325,0.8212180746561886,0.9399753899098631
Li4C6O6,"[{'Li': '4.0', 'C': '6.0', 'O': '6.0'}]",0.003132217732541997,Cathode,0.05743618967086094,0.3889980353634577,0.9399753899098631
Pd / PNCNF-2,"[{'Pd': '1.0'}, {'P': '1.0', 'N': '2.0', 'C': '1.0', 'F': '1.0'}]",0.0031418534393951414,Cathode,0.4425500234377154,0.8094302554027503,0.9399753899098631
Na2CoSiO4,"[{'Na': '2.0', 'Co': '1.0', 'Si': '1.0', 'O': '4.0'}]",0.003151166341998599,Cathode,0.02250939806432044,0.3889980353634577,0.9399753899098631
SnSe,"[{'Sn': '1.0', 'Se': '1.0'}]",0.003162254667975333,Anode,0.062261601669132985,0.19253438113948915,0.9399753899098631
K2FeO4,"[{'K': '2.0', 'Fe': '1.0', 'O': '4.0'}]",0.003168000583619754,Cathode,0.03900771146793629,0.10412573673870333,0.9399753899098631
MgMn2O4,"[{'Mg': '1.0', 'Mn': '2.0', 'O': '4.0'}]",0.0031702602133675596,Cathode,0.05674684509967922,0.3889980353634577,0.9399753899098631
Zn0.25V2O5Â·nH2O,"[{'Zn': '0.25', 'V': '2.0', 'O': '5.0'}]",0.003171002663141839,Cathode,0.05054274395904374,0.3889980353634577,0.9399753899098631
Li2CoPO4F / C,"[{'Li': '2.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",0.0031801864440454217,Cathode,0.029173062252410405,0.3889980353634577,0.9399753899098631
NaVPO4F / C,"[{'Na': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",0.0031982392717091433,Cathode,0.01837333063723012,0.19253438113948915,0.9399753899098631
MgFe2O4,"[{'Mg': '1.0', 'Fe': '2.0', 'O': '4.0'}]",0.0031995385588141317,Anode,0.1670419764887545,0.07465618860510805,0.9399753899098631
SnP0.6S2,"[{'Sn': '1.0', 'P': '0.6', 'S': '2.0'}]",0.003222512537264325,Anode,0.09282254432485593,0.3889980353634577,0.9399753899098631
Mo2C,"[{'Mo': '2.0', 'C': '1.0'}]",0.0032628081917526995,Anode,0.03560694491677313,0.6836935166994105,0.9399753899098631
Fe2O3 / CNF,"[{'Fe': '2.0', 'O': '3.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0032755912400402876,Anode,0.11835127161095231,0.3889980353634577,0.9399753899098631
Cu2Se,"[{'Cu': '2.0', 'Se': '1.0'}]",0.0032975419290189744,Cathode,0.027564591586319725,0.03536345776031433,0.9399753899098631
Li2S6,"[{'Li': '2.0', 'S': '6.0'}]",0.0033003987466287007,Cathode,0.14034136343164916,0.03339882121807465,0.9399753899098631
CNT / Li2S6,"[{'Li': '2.0', 'S': '6.0'}]",0.0033003987466287007,Cathode,0.11488157060267097,0.03339882121807465,0.9399753899098631
Na1.5VPO4.8F0.7,"[{'Na': '1.5', 'V': '1.0', 'P': '1.0', 'O': '4.8', 'F': '0.7'}]",0.0033045032026634653,Cathode,0.21736413018502007,0.6444007858546168,0.9399753899098631
Cu2O / Cu,"[{'Cu': '2.0', 'O': '1.0'}, {'Cu': '1.0'}]",0.003306806410984979,Anode,0.07237198871313155,0.3889980353634577,0.9399753899098631
Fe2F5Â·H2O / rGO,"[{'Fe': '2.0', 'F': '5.0'}]",0.0033075004401218054,Cathode,0.035308228935927714,0.3889980353634577,0.9399753899098631
Cr-doped Fe2F5Â·H2O,"[{'Fe': '2.0', 'F': '5.0'}]",0.0033075004401218054,Cathode,0.033768692726955214,0.3889980353634577,0.9399753899098631
Li0.5Fe2.5O4,"[{'Li': '0.5', 'Fe': '2.5', 'O': '4.0'}]",0.00331393231479681,Anode,0.149348799161757,0.3889980353634577,0.9399753899098631
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",0.0033141340674528643,Anode,0.09190341822994696,0.27111984282907653,0.9399753899098631
SnP0.8S2,"[{'Sn': '1.0', 'P': '0.8', 'S': '2.0'}]",0.003322497925562243,Anode,0.2950302852048272,0.3889980353634577,0.9399753899098631
Li3CrMnO5,"[{'Li': '3.0', 'Cr': '1.0', 'Mn': '1.0', 'O': '5.0'}]",0.003324754327267552,Cathode,0.04594711348449894,0.8408644400785853,0.9399753899098631
RuO2 / NiO,"[{'Ru': '1.0', 'O': '2.0'}, {'Ni': '1.0', 'O': '1.0'}]",0.00332493186960488,Cathode,0.11488157060267097,0.5363457760314341,0.9399753899098631
NaI / Ni,"[{'Na': '1.0', 'I': '1.0'}, {'Ni': '1.0'}]",0.003338215264479483,Cathode,0.028943280728683164,0.5078585461689586,1.0
SnSe / C,"[{'Sn': '1.0', 'Se': '1.0'}, {'C': '1.0'}]",0.003356114760124603,Anode,0.17198227924889015,0.3693516699410608,0.9399753899098631
Na2C8H4O4,"[{'Na': '2.0', 'C': '8.0', 'H': '4.0', 'O': '4.0'}]",0.0033626354059682713,Anode,0.06157225709795126,0.7033398821218074,0.9399753899098631
SiO2 @ SnO2 / rGO,"[{'Si': '1.0', 'O': '4.0', 'Sn': '1.0'}]",0.0033738528536448797,Anode,0.06697212290554141,0.3889980353634577,0.9399753899098631
NMC,"[{'Li': '1.0', 'Ni': '1.0', 'Mn': '1.0', 'Co': '1.0', 'O': '2.0'}]",0.0033853285447212372,Cathode,0.028713499204955924,0.7229862475442043,0.9899958983183106
LiNiCoMnO2,"[{'Li': '1.0', 'Ni': '1.0', 'Co': '1.0', 'Mn': '1.0', 'O': '2.0'}]",0.0033853285447212372,Cathode,0.03560694491677313,0.7229862475442043,0.9899958983183106
Hexacyanoferrate,"[{'C': '6.0', 'N': '6.0', 'Fe': '1.0'}]",0.0033926077805516695,Cathode,0.013777700162685319,0.021021611001964632,0.7498974579577627
RuO2 / mTiO2,"[{'Ru': '1.0', 'O': '2.0'}, {'Ti': '1.0', 'O': '2.0'}]",0.0034084251887863113,Cathode,0.4595538561935311,0.7819253438113948,0.9399753899098631
Nickel sulfide,"[{'Ni': '2.0', 'S': '3.0'}]",0.0034186419432888915,Cathode,0.18381602772084302,0.3889980353634577,0.5968347022279135
NaTi2(PO4),"[{'P': '1.0', 'O': '4.0', 'Na': '1.0', 'Ti': '2.0'}]",0.0034207078904868854,Cathode,0.023428524159229403,0.3889980353634577,0.9399753899098631
FeSe2âC / rGO,"[{'Fe': '1.0', 'Se': '2.0'}]",0.003422208930247928,Anode,0.21083833491116646,0.3889980353634577,0.5253053752038336
FeSe2âC,"[{'Fe': '1.0', 'Se': '2.0'}]",0.003422208930247928,Anode,0.2108613130635392,0.3889980353634577,0.5253053752038336
Cobalt sulphide,"[{'Co': '2.0', 'S': '3.0'}]",0.003426389245281369,Anode,0.22977233246629103,0.3889980353634577,0.9399753899098631
Cobalt sulfide,"[{'Co': '2.0', 'S': '3.0'}]",0.003426389245281369,Anode,0.07352089633176775,0.3889980353634577,0.9399753899098631
MnMoO4,"[{'Mn': '1.0', 'Mo': '1.0', 'O': '4.0'}]",0.003439914743343236,Anode,0.18381602772084302,0.3889980353634577,0.9399753899098631
Na2FePO4F,"[{'Na': '2.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",0.003454586196491491,Cathode,0.02044136435077528,0.3889980353634577,0.9399753899098631
CoSe2,"[{'Co': '1.0', 'Se': '2.0'}]",0.0034720499063995345,Anode,0.1256123677607331,0.5854616895874263,0.9599835932732421
CoSe2 / C-ND @ rGO,"[{'Co': '1.0', 'Se': '2.0'}]",0.0034720499063995345,Cathode,0.03284956663204625,0.5854616895874263,0.9599835932732421
Cu3Si-SCG,"[{'Cu': '3.0', 'Si': '1.0'}]",0.0035018770190705737,Anode,0.11763894888739786,0.3889980353634577,0.9399753899098631
CoMoO4,"[{'Co': '1.0', 'Mo': '1.0', 'O': '4.0'}]",0.003504394892218129,Cathode,0.31364258862673366,0.3889980353634577,0.9399753899098631
S @ TiO2 / Ti2C,"[{'S': '1.0', 'Ti': '1.0', 'O': '2.0'}, {'Ti': '2.0', 'C': '1.0'}]",0.0035171618002932327,Cathode,0.14378808628755776,0.3889980353634577,0.9399753899098631
Li2MgSnO4,"[{'Li': '2.0', 'Mg': '1.0', 'Sn': '1.0', 'O': '4.0'}]",0.0035368689997365976,Anode,0.18243733857847957,0.6208251473477406,0.8499384747746577
Cu3P,"[{'Cu': '3.0', 'P': '1.0'}]",0.003548506092937799,Cathode,0.01694868519012123,0.3889980353634577,0.9399753899098631
TiP2O7,"[{'Ti': '1.0', 'P': '2.0', 'O': '7.0'}]",0.003551669574584727,Anode,0.022968961111774922,0.3889980353634577,0.8999589831831051
Manganese oxide,"[{'Mn': '2.0', 'O': '7.0'}]",0.0035526541275462714,Cathode,0.07076351804704087,0.4872298624754419,0.9399753899098631
CuO / Cu2O / Carbon,"[{'Cu': '1.0', 'O': '1.0'}, {'Cu': '2.0', 'O': '1.0'}]",0.003565033670521751,Anode,0.11281353688912582,0.3889980353634577,0.9899958983183106
Copper sulfide,"[{'Cu': '2.0', 'S': '3.0'}]",0.003575298845661784,Cathode,0.10270314984512725,0.3889980353634577,0.9399753899098631
SnP3 / C,"[{'Sn': '1.0', 'P': '3.0'}, {'C': '1.0'}]",0.00358128686449347,Anode,0.18611384295811542,0.3889980353634577,0.9399753899098631
IrO2,"[{'Ir': '1.0', 'O': '2.0'}]",0.0035905674866719586,Cathode,0.1681908841073907,0.349705304518664,0.9494792865074682
CoSnO3âNC-120,"[{'Co': '1.0', 'Sn': '1.0', 'O': '3.0'}]",0.0036135188688246737,Anode,0.022968961111774922,0.3889980353634577,0.9399753899098631
FeSe2 / C,"[{'Fe': '1.0', 'Se': '2.0'}, {'C': '1.0'}]",0.0036160690223971978,Anode,0.08374617413762994,0.3889980353634577,0.9399753899098631
SnO2 @ C / Cu,"[{'Sn': '1.0', 'O': '2.0', 'C': '1.0'}, {'Cu': '1.0'}]",0.003623606501627379,Anode,0.1516466143990294,0.3889980353634577,0.9399753899098631
HPC @ SnO2 / S,"[{'H': '1.0', 'P': '1.0', 'C': '1.0', 'Sn': '1.0', 'O': '2.0'}, {'S': '1.0'}]",0.0036316120470196063,Cathode,0.18381602772084302,0.3889980353634577,0.9399753899098631
Mn3O4-G,"[{'Mn': '3.0', 'O': '4.0'}]",0.003664683342399996,Anode,0.14774032849566632,0.0943025540275049,0.7322902389979892
Mn3O4,"[{'Mn': '3.0', 'O': '4.0'}]",0.003664683342399996,Anode,0.11488157060267097,0.0943025540275049,0.7322902389979892
CoSe2 @ C / CNTs,"[{'Co': '1.0', 'Se': '2.0', 'C': '1.0'}]",0.003665909998548804,Anode,0.08960560299267456,0.3693516699410608,0.7999179663662102
MnFe2O4,"[{'Mn': '1.0', 'Fe': '2.0', 'O': '4.0'}]",0.0036939616878465674,Anode,0.022968961111774922,0.2514734774066797,0.9399753899098631
Mg2+ / Fâ co-doped LiNi0.5Mn1.5,"[{'Mg': '2.0'}, {'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",0.003704864401379731,Cathode,0.026415683967683522,0.3889980353634577,0.9399753899098631
Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Anode,0.1865734060055699,0.15324165029469544,0.3797456957352514
Fe3O4-G410,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Anode,0.07122308109449535,0.15324165029469544,0.3797456957352514
RGO / Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Anode,0.2403422825577441,0.15324165029469544,0.3797456957352514
Nitrogen-doped Fe3O4 / graphene,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Anode,0.195305103907205,0.15324165029469544,0.3797456957352514
Fe3O4 @ graphene,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Anode,0.06642064724859603,0.15324165029469544,0.3797456957352514
CNT / Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Cathode,0.13831928602284946,0.15324165029469544,0.3797456957352514
Fe3O4 / C-3,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Anode,0.2788996222391749,0.15324165029469544,0.3797456957352514
GNS / Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Anode,0.11947720107721578,0.15324165029469544,0.3797456957352514
Fe3O4 @ C-G,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Cathode,0.32742948005036804,0.15324165029469544,0.3797456957352514
Fe3O4âMoS2,"[{'Fe': '3.0', 'O': '4.0'}]",0.0037086008605698535,Anode,0.3795898859364516,0.15324165029469544,0.3797456957352514
Sn @ PVP-CX,"[{'Sn': '1.0'}, {'P': '2.0', 'V': '1.0'}]",0.00370970646512503,Anode,0.08799713232658388,0.3889980353634577,0.9399753899098631
Tungsten oxide,"[{'W': '1.0', 'O': '3.0'}]",0.0037135397655900576,Anode,0.11051572165185342,0.8801571709233791,0.7448954071169179
PANI / m-WO3,"[{'W': '1.0', 'O': '3.0'}]",0.0037135397655900576,Anode,0.20288789419020395,0.8801571709233791,0.7448954071169179
ZnSnO3,"[{'Zn': '1.0', 'Sn': '1.0', 'O': '3.0'}]",0.00371757481871114,Anode,0.03783582569692736,0.3889980353634577,0.35073380085835193
NiMn2O4 @ rGO-2,"[{'Ni': '1.0', 'Mn': '2.0', 'O': '4.0'}]",0.0037252898402786493,Anode,0.1992113898105681,0.3889980353634577,0.6168429055912925
CoMn2O4,"[{'Co': '1.0', 'Mn': '2.0', 'O': '4.0'}]",0.003729163491274888,Anode,0.16221656449048244,0.0,0.9849938474774658
Mn2CoO4 / rGO,"[{'Mn': '2.0', 'Co': '1.0', 'O': '4.0'}]",0.003729163491274888,Anode,0.143604261068576,0.0,0.9849938474774658
5 V LiNi0.5Mn1.5O4,"[{'V': '1.0', 'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",0.0037424953067869433,Cathode,0.028713499204955924,0.9783889980353633,0.9399753899098631
Fe(VI),"[{'V': '1.0', 'I': '1.0', 'Fe': '1.0'}]",0.0037433910885798236,Cathode,0.09328210737231041,0.03536345776031433,0.9399753899098631
CoFe2O4,"[{'Co': '1.0', 'Fe': '2.0', 'O': '4.0'}]",0.00375844183672146,Anode,0.32559122786055017,0.19253438113948915,0.38974979741694094
CoFe2O4 / CNT,"[{'Co': '1.0', 'Fe': '2.0', 'O': '4.0'}]",0.00375844183672146,Cathode,0.09879686394176417,0.19253438113948915,0.38974979741694094
CuO / Cu2O / C,"[{'Cu': '1.0', 'O': '1.0'}, {'Cu': '2.0', 'O': '1.0'}, {'C': '1.0'}]",0.003758893762671021,Anode,0.09190341822994696,0.3889980353634577,0.9399753899098631
Fe / Fe3CâCNF,"[{'Fe': '1.0'}, {'Fe': '3.0', 'C': '1.0'}]",0.0037709020807593615,Cathode,0.275728637211739,0.3889980353634577,0.9399753899098631
LiNiPO4 @ CoO,"[{'Li': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}, {'Co': '1.0', 'O': '1.0'}]",0.003773226271357105,Cathode,0.03422825577440969,0.3889980353634577,0.9399753899098631
Ga2S3 / C-PSM,"[{'Ga': '2.0', 'S': '3.0'}]",0.0037746950306931787,Anode,0.1201665456483975,0.3889980353634577,0.9399753899098631
LiTaO3âS,"[{'Li': '1.0', 'Ta': '1.0', 'O': '3.0'}]",0.0037789076261515887,Cathode,0.2506824511254699,0.3889980353634577,0.9739893356276074
FeSi6 / C,"[{'Fe': '1.0', 'Si': '6.0'}, {'C': '1.0'}]",0.003786638787931582,Anode,0.40394672745153903,0.07465618860510805,0.9399753899098631
MnCo2O4,"[{'Mn': '1.0', 'Co': '2.0', 'O': '4.0'}]",0.0037936436401497806,Anode,0.32933666669730416,0.16306483300589386,0.9399753899098631
MnCo2O4-600C,"[{'Mn': '1.0', 'Co': '2.0', 'O': '4.0'}]",0.0037936436401497806,Anode,0.19167455583231463,0.16306483300589386,0.9399753899098631
Na3FeF6 / CNTs,"[{'Na': '3.0', 'Fe': '1.0', 'F': '6.0'}]",0.0038259724857558903,Cathode,0.04633774207483524,0.19253438113948915,0.9399753899098631
CuFe2O4,"[{'Cu': '1.0', 'Fe': '2.0', 'O': '4.0'}]",0.003832896636911667,Anode,0.17899061572257097,0.3889980353634577,0.6498564411408678
ZnMn2O4,"[{'Zn': '1.0', 'Mn': '2.0', 'O': '4.0'}]",0.003833219441161354,Anode,0.14307576356400334,0.3889980353634577,0.9699876949549315
LiFeAu0.02Mn1.98O4,"[{'Li': '1.0', 'Fe': '1.0', 'Au': '0.02', 'Mn': '1.98', 'O': '4.0'}]",0.0038371841229560043,Cathode,0.03645713655456392,0.3889980353634577,0.9399753899098631
GeP5 / C,"[{'Ge': '1.0', 'P': '5.0'}, {'C': '1.0'}]",0.003837399756194795,Anode,0.18381602772084302,0.13359528487229858,1.0
Fe2O3 @ TiO2,"[{'Fe': '2.0', 'O': '3.0'}, {'Ti': '1.0', 'O': '2.0'}]",0.0038380615049066523,Anode,0.1731771431722718,0.3889980353634577,0.6098400344141098
Fe2TiO5,"[{'Fe': '2.0', 'Ti': '1.0', 'O': '5.0'}]",0.0038380615049066523,Anode,0.10759749630051746,0.3889980353634577,0.6098400344141098
CoLa0.06Fe1.94O4,"[{'Co': '1.0', 'La': '0.06', 'Fe': '1.94', 'O': '4.0'}]",0.003838883041722105,Anode,0.3901598360279046,0.3889980353634577,0.9399753899098631
Ni3S2 / graphene,"[{'Ni': '3.0', 'S': '2.0'}]",0.003848504222384013,Cathode,0.08041434204358495,0.3889980353634577,0.9399753899098631
Ni3S2,"[{'Ni': '3.0', 'S': '2.0'}]",0.003848504222384013,Anode,0.1026319175727718,0.3889980353634577,0.9399753899098631
Ni2CoO4,"[{'Ni': '2.0', 'Co': '1.0', 'O': '4.0'}]",0.003850376487032195,Anode,0.01906267520841184,0.3889980353634577,0.9399753899098631
SnSbâAg nano-alloy,"[{'Sn': '1.0', 'Sb': '1.0'}]",0.003852878219967266,Anode,0.1190176380297613,0.3889980353634577,0.9399753899098631
SnSb-G-C,"[{'Sn': '1.0', 'Sb': '1.0'}]",0.003852878219967266,Anode,0.06321289717736375,0.3889980353634577,0.9399753899098631
SnSb,"[{'Sn': '1.0', 'Sb': '1.0'}]",0.003852878219967266,Anode,0.11488157060267097,0.3889980353634577,0.9399753899098631
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",0.003854250138028434,Cathode,0.11488157060267097,0.8801571709233791,0.9099630848647946
NiCo2O4-GO-rGO,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",0.003854250138028434,Anode,0.18749253210047886,0.8801571709233791,0.9099630848647946
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",0.0038581237890246726,Anode,0.038617082877599976,0.19056974459724946,0.6158424954231235
Co3O4âCNTs,"[{'Co': '3.0', 'O': '4.0'}]",0.0038581237890246726,Anode,0.11717938583994338,0.19056974459724946,0.6158424954231235
Co3O4 / graphene,"[{'Co': '3.0', 'O': '4.0'}]",0.0038581237890246726,Anode,0.1930072886699326,0.19056974459724946,0.6158424954231235
Carbon / Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",0.0038581237890246726,Cathode,0.022968961111774922,0.19056974459724946,0.6158424954231235
Mn3O4 / C,"[{'Mn': '3.0', 'O': '4.0'}, {'C': '1.0'}]",0.003858543434549266,Anode,0.26217152731183185,0.5854616895874263,1.0
Mn3O4 @ C,"[{'Mn': '3.0', 'O': '4.0'}, {'C': '1.0'}]",0.003858543434549266,Anode,0.19408726183145067,0.5854616895874263,1.0
ZnFe2O4 @ C nano-whiskers,"[{'Zn': '1.0', 'Fe': '2.0', 'O': '4.0'}]",0.003862497786607926,Anode,0.3956745925973584,0.5854616895874263,0.9839934373092969
ZnFe2O4,"[{'Zn': '1.0', 'Fe': '2.0', 'O': '4.0'}]",0.003862497786607926,Anode,0.18381602772084302,0.5854616895874263,0.9839934373092969
Fe3O4 @ C,"[{'Fe': '3.0', 'O': '4.0'}, {'C': '1.0'}]",0.003902460952719123,Anode,0.013800678315058042,0.19253438113948915,0.8999589831831051
Fe3O4 / C,"[{'Fe': '3.0', 'O': '4.0'}, {'C': '1.0'}]",0.003902460952719123,Anode,0.21322806275792974,0.19253438113948915,0.8999589831831051
Li2FeP2O7,"[{'Li': '2.0', 'Fe': '1.0', 'P': '2.0', 'O': '7.0'}]",0.0039044623390671798,Cathode,0.05054274395904374,0.6836935166994105,0.9399753899098631
WO3 / C,"[{'W': '1.0', 'O': '3.0'}, {'C': '1.0'}]",0.003907399857739328,Anode,0.15991874925321004,0.3889980353634577,0.9399753899098631
LiMnSnO4,"[{'Li': '1.0', 'Mn': '1.0', 'Sn': '1.0', 'O': '4.0'}]",0.003919279054127794,Cathode,0.025956120920229045,0.3889980353634577,0.9399753899098631
MnCo2O4.5,"[{'Mn': '1.0', 'Co': '2.0', 'O': '4.5'}]",0.003922757269918167,Anode,0.2989365711081903,0.3889980353634577,0.7198851529126943
CuCo2O4,"[{'Cu': '1.0', 'Co': '2.0', 'O': '4.0'}]",0.00393257858921488,Anode,0.2858390242557376,0.3889980353634577,0.8199261697295892
V2O5 / Cu,"[{'V': '2.0', 'O': '5.0'}, {'Cu': '1.0'}]",0.0039328368326146295,Cathode,0.04502798738958998,0.3889980353634577,0.9399753899098631
NiFe2O4 / C,"[{'Ni': '1.0', 'Fe': '2.0', 'O': '4.0'}, {'C': '1.0'}]",0.003948428277874491,Anode,0.0877213944981112,0.8801571709233791,0.9399753899098631
Fe2O3 / MnO2,"[{'Fe': '2.0', 'O': '3.0'}, {'Mn': '1.0', 'O': '2.0'}]",0.003952188947383339,Anode,0.07352089633176775,0.3889980353634577,0.9399753899098631
